"","Date","European Union_Allowance Price_Domestic Currency (EUR)","California_Allowance Price_Domestic Currency (USD)","Québec_Allowance Price_Domestic Currency (CAD)","Ontario_Allowance Price_Domestic Currency (CAD)","New Zealand_Allowance Price_Domestic Currency (NZD)","Kazakhstan_Allowance Price_Domestic Currency (KZT)","South Korea_Allowance Price_Domestic Currency (KRW)","Switzerland_Allowance Price_Domestic Currency (CHF)","RGGI_Allowance Price_Domestic Currency (USD)","Nova Scotia_Allowance Price_Domestic Currency ( )","United Kingdom_Allowance Price_Domestic Currency ( )","China_Allowance Price_Domestic Currency ( )","Germany_Allowance Price_Domestic Currency ( )","Washigton_Allowance Price_Domestic Currency ( )","New ETS 6_Allowance Price_Domestic Currency ( )","New ETS 7_Allowance Price_Domestic Currency ( )","New ETS 8_Allowance Price_Domestic Currency ( )","New ETS 10_Allowance Price_Domestic Currency ( )","Shenzhen_Allowance Price_Domestic Currency (CNY)","Shanghai_Allowance Price_Domestic Currency (CNY)","Beijing_Allowance Price_Domestic Currency (CNY)","Guangdong_Allowance Price_Domestic Currency (CNY)","Tianjin_Allowance Price_Domestic Currency (CNY)","Hubei_Allowance Price_Domestic Currency (CNY)","Chongqing_Allowance Price_Domestic Currency (CNY)","Fujian_Allowance Price_Domestic Currency (CNY)"
"3308",2014-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3309",2014-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3310",2014-01-20,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.06363636,31.5,50.1,NA,26.17648148,NA,NA,NA
"3311",2014-01-21,5.02,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.96685083,32.5,50,NA,26.11386139,NA,NA,NA
"3312",2014-01-22,5.11,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,32.5,50.2,NA,26.12677778,NA,NA,NA
"3313",2014-01-23,5.03,NA,NA,NA,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.36272727,32,NA,NA,26.14291667,NA,NA,NA
"3314",2014-01-24,5.25,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.11343013,33,NA,NA,26.11490909,NA,NA,NA
"3315",2014-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3316",2014-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3317",2014-01-27,5.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.08974026,33,NA,NA,25.82146067,NA,NA,NA
"3318",2014-01-28,5.51,NA,NA,NA,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.17583333,33,50.5,NA,25.67481928,NA,NA,NA
"3319",2014-01-29,5.49,NA,NA,NA,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.78636364,33,51,NA,25.47949367,NA,NA,NA
"3320",2014-01-30,5.7,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,50.8,NA,25.58636364,NA,NA,NA
"3321",2014-01-31,5.55,NA,NA,NA,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3322",2014-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3323",2014-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3324",2014-02-03,5.82,NA,NA,NA,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3325",2014-02-04,5.81,NA,NA,NA,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3326",2014-02-05,6.05,NA,NA,NA,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3327",2014-02-06,6.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3328",2014-02-07,6.44,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,NA,NA,25.625,NA,NA,NA
"3329",2014-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3330",2014-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3331",2014-02-10,6.39,NA,NA,NA,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.02493745,34.5,NA,NA,25.54659091,NA,NA,NA
"3332",2014-02-11,6.23,NA,NA,NA,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.73813853,34.5,51,NA,25.5365,NA,NA,NA
"3333",2014-02-12,6.34,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.58157895,35,51,NA,25.50943396,NA,NA,NA
"3334",2014-02-13,6.38,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.99997704,34.99271845,51.8,NA,25.82142857,NA,NA,NA
"3335",2014-02-14,6.57,NA,NA,NA,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.29738372,35.5,51.1,NA,25.92326733,NA,NA,NA
"3336",2014-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3337",2014-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3338",2014-02-17,6.78,NA,NA,NA,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.62883087,36.07142857,51.5,NA,26.64140625,NA,NA,NA
"3339",2014-02-18,6.73,NA,NA,NA,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.97998865,37.6,51.41428571,NA,27.86607143,NA,NA,NA
"3340",2014-02-19,6.9,11.48,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.42779412,40.22383073,51.7,NA,27.11376812,NA,NA,NA
"3341",2014-02-20,6.99,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.8437069,42.54166667,51.75384615,NA,27.48833333,NA,NA,NA
"3342",2014-02-21,7.11,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,44.91260974,51.80588235,NA,30.08026316,NA,NA,NA
"3343",2014-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3344",2014-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3345",2014-02-24,6.98,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.0212731,40.33333333,52.14,NA,29.76,NA,NA,NA
"3346",2014-02-25,6.2,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.90332031,37.51552795,52.04,NA,29.52765957,NA,NA,NA
"3347",2014-02-26,6.49,NA,NA,NA,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,40,52.41,NA,29.49262295,NA,NA,NA
"3348",2014-02-27,6.5,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.1404878,NA,51.78461538,NA,28.31842105,NA,NA,NA
"3349",2014-02-28,7.05,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.08810427,40.8,52.81666667,NA,27.02,NA,NA,NA
"3350",2014-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3351",2014-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3352",2014-03-03,6.58,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.46040146,37.0952381,52.55652174,NA,29.72,NA,NA,NA
"3353",2014-03-04,6.8,NA,11.39,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.30444305,NA,52.62857143,NA,32.69,NA,NA,NA
"3354",2014-03-05,6.77,NA,NA,NA,3.05,NA,NA,NA,4.409245438,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.5,40.08571429,53.06521739,NA,31.54814815,NA,NA,NA
"3355",2014-03-06,6.79,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.09386973,40.25,55.2,NA,32.06554054,NA,NA,NA
"3356",2014-03-07,6.91,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.76631579,NA,55.17777778,NA,33.19722222,NA,NA,NA
"3357",2014-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3358",2014-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3359",2014-03-10,6.89,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.099375,39.5,54.16470588,NA,36.47142857,NA,NA,NA
"3360",2014-03-11,6.82,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.44880041,39.73754153,54.56363636,60,40.09230769,NA,NA,NA
"3361",2014-03-12,6.49,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.35508346,39.8,55.95555556,NA,43.44705882,NA,NA,NA
"3362",2014-03-13,6.42,NA,NA,NA,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.18744513,40,55.76363636,NA,46.07173913,NA,NA,NA
"3363",2014-03-14,6.3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.4202514,40,54,63,47.52272727,NA,NA,NA
"3364",2014-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3365",2014-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3366",2014-03-17,5.88,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.06387226,40,56.17,65,48.21818182,NA,NA,NA
"3367",2014-03-18,5.78,NA,NA,NA,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.00499168,39,56.48,65,50.11,NA,NA,NA
"3368",2014-03-19,5.96,NA,NA,NA,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.97413793,39.8,56.31111111,66,45.58918919,NA,NA,NA
"3369",2014-03-20,6,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.28063943,39.82222222,56.39166667,65,42.55555556,NA,NA,NA
"3370",2014-03-21,6.17,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.28571429,40.41333333,54.97272727,63,38.84059406,NA,NA,NA
"3371",2014-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3372",2014-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3373",2014-03-24,5.85,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.6509434,40.5,NA,65,35.315,NA,NA,NA
"3374",2014-03-25,5.85,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,40,56.95,60,35.36309524,NA,NA,NA
"3375",2014-03-26,5.79,NA,NA,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.00497512,NA,56.51,65,33.20454545,NA,NA,NA
"3376",2014-03-27,5.24,NA,NA,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,40.07692308,56.85,60,33.56388889,NA,NA,NA
"3377",2014-03-28,4.35,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,40,56.86,61.5,34.76,NA,NA,NA
"3378",2014-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3379",2014-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3380",2014-03-31,4.63,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,40,54.848,60,33.81666667,NA,NA,NA
"3381",2014-04-01,5.04,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.90331492,39.5,52.375,62,35.01,NA,NA,NA
"3382",2014-04-02,4.82,NA,NA,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.97459824,38.5,57,NA,32.76025641,21.00003921,NA,NA
"3383",2014-04-03,4.82,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.68770764,39.16176471,53.39285714,NA,31.135,24.2,NA,NA
"3384",2014-04-04,4.69,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,39.375,57.18,NA,34.25,26.60967135,NA,NA
"3385",2014-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3386",2014-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3387",2014-04-07,4.97,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3388",2014-04-08,4.86,NA,NA,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,39.33333333,57.02222222,60.8,32.3273913,26.55791249,NA,NA
"3389",2014-04-09,4.92,NA,NA,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.19291339,38.9,53.15,NA,30,25.06538781,NA,NA
"3390",2014-04-10,5.08,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.20899251,38.95555556,57,NA,33,24.73792225,NA,NA
"3391",2014-04-11,5.23,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.19393939,NA,57.25555556,60,33.3,24.79821951,NA,NA
"3392",2014-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3393",2014-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3394",2014-04-14,5.25,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.90923878,39.2,57.29,61.8,NA,24.46011222,NA,NA
"3395",2014-04-15,5.55,NA,NA,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.12307692,40.05,57,63.3,36.625,25.32860704,NA,NA
"3396",2014-04-16,5.42,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,53.51111111,60,40.28888889,25.15219794,NA,NA
"3397",2014-04-17,5.53,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.56020408,NA,55.375,NA,39.95,24.72908391,NA,NA
"3398",2014-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.33333333,36,52,63.8,38.25,25.07294839,NA,NA
"3399",2014-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3400",2014-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3401",2014-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.46599749,38,53,62,37.50416667,24.84688961,NA,NA
"3402",2014-04-22,5.66,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.98571429,39,54,65.8,36.45416667,24.76035082,NA,NA
"3403",2014-04-23,5.67,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.76928896,39.5,53.5,61,37.5,24.43346726,NA,NA
"3404",2014-04-24,5.71,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.72108696,39.32258065,54,67,37.17,24.10758333,NA,NA
"3405",2014-04-25,5.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.47525372,39.4516129,53.63636364,71.6,35.95238095,24.29140356,NA,NA
"3406",2014-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3407",2014-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3408",2014-04-28,5.19,NA,NA,NA,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7783512,39.4,53,NA,37.06276596,24.49391373,NA,NA
"3409",2014-04-29,5.42,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.69384705,39.62295082,53.47727273,NA,37,24.25300902,NA,NA
"3410",2014-04-30,5.4,NA,NA,NA,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.93320172,39.06666667,53.15,70.88,36.14558824,24.3554104,NA,NA
"3411",2014-05-01,NA,NA,NA,NA,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3412",2014-05-02,5.17,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3413",2014-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3414",2014-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.2,NA,NA,NA,NA
"3415",2014-05-05,5.22,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7557245,NA,53.31764706,66.8,35.12580645,24.19347449,NA,NA
"3416",2014-05-06,5.22,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.04249292,38.8,52.82786885,NA,NA,23.82969031,NA,NA
"3417",2014-05-07,5.12,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.43987532,NA,52.55813953,NA,38.64,23.7711378,NA,NA
"3418",2014-05-08,5.13,NA,NA,NA,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.24089613,39,53.03333333,62.1,37.09583333,23.73016402,NA,NA
"3419",2014-05-09,5.24,NA,NA,NA,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.55557312,39,53.16666667,65.12,34.97857143,23.73151956,NA,NA
"3420",2014-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3421",2014-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3422",2014-05-12,5.3,NA,NA,NA,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.57239252,38.9,53.5,NA,33.02692308,23.61526108,NA,NA
"3423",2014-05-13,5.28,NA,NA,NA,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.33547558,38.86,53.5,NA,33.01368421,23.59737371,NA,NA
"3424",2014-05-14,5.11,NA,NA,NA,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.54439969,39.75224946,52.6,67.8,31.77205882,23.7189399,NA,NA
"3425",2014-05-15,4.77,NA,NA,NA,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.66571429,NA,53.5,69.5,34.73023256,24.01152619,NA,NA
"3426",2014-05-16,4.79,11.5,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.89484269,39.2,52.78571429,71.2,34.98208955,23.95998,NA,NA
"3427",2014-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3428",2014-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3429",2014-05-19,4.7,NA,NA,NA,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.26745503,39.38,53.3424626,74.6,33.81372549,23.94547228,NA,NA
"3430",2014-05-20,4.84,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.4339737,39.5,53.35915493,77,32.63846154,24.03016576,NA,NA
"3431",2014-05-21,5.12,NA,NA,NA,4.1,NA,NA,40.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.89622642,NA,53.36086957,74.7,32.0665625,23.81465065,NA,NA
"3432",2014-05-22,5.16,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.56668071,38.17651472,53.5,73,32.265,24.31327993,NA,NA
"3433",2014-05-23,5.11,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.23843691,38.54545455,53.49574468,70.02,30.99756098,23.90490052,NA,NA
"3434",2014-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3435",2014-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3436",2014-05-26,5.1,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.777678,38.08333333,52.99314872,NA,30.38676471,23.89417853,NA,NA
"3437",2014-05-27,5.16,NA,11.39,NA,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.602942,NA,52,NA,28.48431373,23.8868474,NA,NA
"3438",2014-05-28,5.18,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3992,38.88,53.26395534,63.02,28.69225,23.88805932,NA,NA
"3439",2014-05-29,5.21,NA,NA,NA,5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.36772393,38.5,53.1036806,65.18,28.00454545,23.71319834,NA,NA
"3440",2014-05-30,5.09,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.62288116,38.51415028,53,61.18,28.07288889,23.90984634,NA,NA
"3441",2014-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3442",2014-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3443",2014-06-02,5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3444",2014-06-03,5.42,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.825,38.5,53.47264802,63.5,29.21348837,23.93182155,NA,NA
"3445",2014-06-04,5.39,NA,NA,NA,5,NA,NA,NA,5.533603025,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.39069922,28,53.8,NA,30.00666667,23.97619359,NA,NA
"3446",2014-06-05,5.51,NA,NA,NA,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.55617061,33.3172043,53.3030303,60.02606104,31.4846875,23.94098889,NA,NA
