"","Date","European Union_Allowance Price_Domestic Currency (EUR)","California_Allowance Price_Domestic Currency (USD)","New Zealand_Allowance Price_Domestic Currency (NZD)","Hubei_Allowance Price_Domestic Currency (CNY)"
"3795",2015-05-20,7.35,NA,5.2,25.23629274
"3796",2015-05-21,7.31,12.29,5.25,25.80051407
"3797",2015-05-22,7.28,NA,5.15,26.19393032
"3800",2015-05-25,NA,NA,5.2,26.27872671
"3801",2015-05-26,7.23,NA,5.25,25.40175208
"3802",2015-05-27,7.18,NA,5.25,25.52546015
"3803",2015-05-28,7.19,NA,5.25,25.33315706
"3804",2015-05-29,7.31,NA,5.25,24.96231653
"3807",2015-06-01,7.24,NA,NA,25.12421289
"3808",2015-06-02,7.44,NA,5.25,25.33633797
"3809",2015-06-03,7.49,NA,5.15,25.48174572
"3810",2015-06-04,7.4,NA,5.4,27.5
"3811",2015-06-05,7.41,NA,5.4,25.78480606
"3814",2015-06-08,7.46,NA,5.55,25.5572177
"3815",2015-06-09,7.57,NA,5.55,25.76014972
"3816",2015-06-10,7.58,NA,6.05,NA
"3817",2015-06-11,7.52,NA,6.05,25.59125606
"3818",2015-06-12,7.59,NA,6.7,25.39915131
"3821",2015-06-15,7.53,NA,7.1,24.56238614
"3822",2015-06-16,7.42,NA,7.05,25.33778662
"3823",2015-06-17,7.46,NA,6.85,25.08820859
"3824",2015-06-18,7.45,NA,6.8,25.37354622
"3825",2015-06-19,7.41,NA,6.75,25.29469697
"3828",2015-06-22,7.48,NA,6.85,NA
"3829",2015-06-23,7.49,NA,6.8,25.2
"3830",2015-06-24,7.47,NA,6.7,25.2
"3831",2015-06-25,7.57,NA,6.7,25.2
"3832",2015-06-26,7.52,NA,6.7,25.08263396
"3835",2015-06-29,7.36,NA,6.65,24.98912189
"3836",2015-06-30,7.44,NA,6.8,25.28937578
"3837",2015-07-01,7.47,NA,6.8,NA
"3838",2015-07-02,7.43,NA,6.8,25.20737638
"3839",2015-07-03,7.43,NA,6.87,23.30251825
"3842",2015-07-06,7.36,NA,6.87,23.35063539
"3843",2015-07-07,7.44,NA,6.9,23.4
"3844",2015-07-08,7.47,NA,6.9,24.82
"3845",2015-07-09,7.45,NA,7,24.9
"3846",2015-07-10,7.58,NA,7.05,25.1644397
"3849",2015-07-13,7.75,NA,7.05,26.1222395
"3850",2015-07-14,7.7,NA,7,28.00608317
"3851",2015-07-15,7.75,NA,7,27.6636095
"3852",2015-07-16,7.64,NA,7,27.53994778
"3853",2015-07-17,7.7,NA,7,27.53596394
"3856",2015-07-20,7.96,NA,6.8,27.60541057
"3857",2015-07-21,7.92,NA,6.9,27.3180624
"3858",2015-07-22,7.93,NA,7,26.71761584
"3859",2015-07-23,8.07,NA,6.9,26.51593964
"3860",2015-07-24,7.98,NA,6.9,25.46737698
"3863",2015-07-27,7.99,NA,6.82,24.49760192
"3864",2015-07-28,7.99,NA,6.85,23.56236739
"3865",2015-07-29,8.04,NA,6.85,24.50514235
"3866",2015-07-30,7.87,NA,6.85,24.71139165
"3867",2015-07-31,7.87,NA,6.85,24.49507546
"3870",2015-08-03,7.93,NA,6.85,22.55862069
"3871",2015-08-04,7.89,NA,6.95,24.99968013
"3872",2015-08-05,7.81,NA,6.95,21.6001346
"3873",2015-08-06,7.84,NA,6.95,24.08974445
"3874",2015-08-07,7.76,NA,6.95,25.46933667
"3877",2015-08-10,7.89,NA,6.85,26.5
"3878",2015-08-11,8.07,NA,6.8,25.95996663
"3879",2015-08-12,8.16,NA,6.85,25.44594274
"3880",2015-08-13,8.17,NA,6.9,25.19666128
"3881",2015-08-14,8.32,NA,6.92,25.25384408
"3884",2015-08-17,8.23,NA,6.9,23.95991466
"3885",2015-08-18,8.24,12.52,6.8,25.1
"3886",2015-08-19,8.3,NA,6.9,25.10099676
"3887",2015-08-20,8.37,NA,6.95,25.39338549
"3888",2015-08-21,8.19,NA,6.9,25.63333333
"3891",2015-08-24,8.16,NA,6.75,24.10462834
"3892",2015-08-25,8.22,NA,6.8,24.59504722
"3893",2015-08-26,8.09,NA,6.75,25
"3894",2015-08-27,8.04,NA,6.75,25.98606238
"3895",2015-08-28,8.08,NA,6.75,24.41635688
"3898",2015-08-31,8.04,NA,6.8,24.49284091
"3899",2015-09-01,7.97,NA,6.85,24.73919572
"3900",2015-09-02,8.09,NA,6.85,24.69535714
"3901",2015-09-03,8.16,NA,6.8,NA
"3902",2015-09-04,8.08,NA,6.8,NA
"3905",2015-09-07,8.07,NA,6.85,24.59552315
"3906",2015-09-08,8.22,NA,6.8,24.6
"3907",2015-09-09,8.26,NA,6.8,24.25179245
"3908",2015-09-10,8.28,NA,6.77,24.53429554
"3909",2015-09-11,8.22,NA,6.75,24.2512338
"3912",2015-09-14,8.21,NA,6.85,24.8
"3913",2015-09-15,8.17,NA,6.75,24.01818182
"3914",2015-09-16,8.22,NA,6.75,23.73228561
"3915",2015-09-17,8.2,NA,6.72,24.04697611
"3916",2015-09-18,8.1,NA,6.7,23.77833669
"3919",2015-09-21,7.98,NA,6.67,23.54233683
"3920",2015-09-22,8,NA,6.57,23.3994021
"3921",2015-09-23,8.05,NA,6.55,23.27875219
"3922",2015-09-24,7.99,NA,6.55,23.17458108
"3923",2015-09-25,7.98,NA,6.57,23.97777894
"3926",2015-09-28,7.89,NA,6.65,23.3128753
"3927",2015-09-29,7.94,NA,6.67,24.51256947
"3928",2015-09-30,8.13,NA,6.75,25.80560378
"3929",2015-10-01,8.14,NA,6.72,NA
"3930",2015-10-02,8.11,NA,6.75,NA
"3933",2015-10-05,8.18,NA,6.8,NA
"3934",2015-10-06,8.19,NA,6.75,NA
"3935",2015-10-07,8.09,NA,6.75,NA
"3936",2015-10-08,8.11,NA,6.73,23.9295368
"3937",2015-10-09,8.32,NA,6.8,23.03457905
"3940",2015-10-12,8.29,NA,6.82,23.33784993
"3941",2015-10-13,8.33,NA,6.9,23.27468875
"3942",2015-10-14,8.42,NA,6.9,23.17937778
"3943",2015-10-15,8.42,NA,6.9,23.11195733
"3944",2015-10-16,8.38,NA,6.9,23.18447972
"3947",2015-10-19,8.34,NA,6.9,23.10651993
"3948",2015-10-20,8.44,NA,6.95,23.09843972
"3949",2015-10-21,8.43,NA,7.05,23.15
"3950",2015-10-22,8.47,NA,7.1,23.2304793
"3951",2015-10-23,8.6,NA,7.05,23.16453358
"3954",2015-10-26,8.64,NA,NA,23.10376368
"3955",2015-10-27,8.59,NA,7,23.1263002
"3956",2015-10-28,8.56,NA,7,22.59458484
"3957",2015-10-29,8.65,NA,6.9,23.10413864
"3958",2015-10-30,8.64,NA,7.05,22.98622184
"3961",2015-11-02,8.58,NA,7.07,22.58259338
"3962",2015-11-03,8.44,NA,7.25,21.72599732
"3963",2015-11-04,8.38,NA,7.32,21.20137476
"3964",2015-11-05,8.45,NA,7.22,21.79615221
"3965",2015-11-06,8.39,NA,7.3,21.03154313
"3968",2015-11-09,8.32,NA,7.2,20.74343013
"3969",2015-11-10,8.42,NA,7.2,20.02524752
"3970",2015-11-11,8.43,NA,7.45,20.50153
"3971",2015-11-12,8.36,NA,7.5,22.55
"3972",2015-11-13,8.38,NA,7.5,23.20078562
"3975",2015-11-16,8.5,NA,7.47,23.10181818
"3976",2015-11-17,8.58,12.73,7.45,23.0483842
"3977",2015-11-18,8.58,NA,7.65,23.01
"3978",2015-11-19,8.62,NA,7.7,23.02456418
"3979",2015-11-20,8.51,NA,7.7,23.01055315
"3982",2015-11-23,8.56,NA,7.85,23.11662791
"3983",2015-11-24,8.65,NA,7.85,23.12996795
"3984",2015-11-25,8.62,NA,8,23.5049364
"3985",2015-11-26,8.58,NA,8.23,23.2
"3986",2015-11-27,8.56,NA,8.32,23.10990099
"3989",2015-11-30,8.58,NA,8.35,23.11037736
"3990",2015-12-01,8.55,NA,8.45,23.05054422
"3991",2015-12-02,8.49,NA,8.5,23.01
"3992",2015-12-03,8.58,NA,8.6,23.0491481
"3993",2015-12-04,8.52,NA,8.55,22.17950123
"3996",2015-12-07,8.42,NA,8.65,22.5
"3997",2015-12-08,8.42,NA,8.7,22.98422211
"3998",2015-12-09,8.4,NA,8.7,22.96219512
"3999",2015-12-10,8.36,NA,8.83,23.14972322
"4000",2015-12-11,8.07,NA,8.9,22.95595842
"4003",2015-12-14,8.09,NA,9.2,22.92999521
"4004",2015-12-15,8.19,NA,9.25,22.99670519
"4005",2015-12-16,8.12,NA,9.25,22.8
"4006",2015-12-17,8.07,NA,9.2,22.57225199
"4007",2015-12-18,8.07,NA,9.2,22.54473611
"4010",2015-12-21,8.18,NA,9.5,22.4146704
"4011",2015-12-22,8.25,NA,9.45,22.60033391
"4012",2015-12-23,8.22,NA,9.45,22.78559947
"4013",2015-12-24,NA,NA,9.5,22.80805268
"4014",2015-12-25,NA,NA,NA,22.86351633
"4017",2015-12-28,8.32,NA,NA,23.10010427
"4018",2015-12-29,8.27,NA,9.4,23.02779112
"4019",2015-12-30,8.22,NA,9.4,22.26045204
"4020",2015-12-31,NA,NA,9.45,24.39598692
"4021",2016-01-01,NA,NA,NA,NA
"4024",2016-01-04,8.05,NA,NA,23.33219697
"4025",2016-01-05,8,NA,9.5,23.81526665
"4026",2016-01-06,7.76,NA,9.6,21.11399505
"4027",2016-01-07,7.53,NA,9.7,23.20392063
"4028",2016-01-08,7.42,NA,9.8,22.99650629
"4031",2016-01-11,7.14,NA,9.8,22.66798373
"4032",2016-01-12,7.1,NA,9.85,22.86910375
"4033",2016-01-13,7.25,NA,9.75,22.73892751
"4034",2016-01-14,7.08,NA,9.75,22.83263971
"4035",2016-01-15,6.68,NA,9.73,22.54168824
"4038",2016-01-18,6.71,NA,9.73,22.93694976
"4039",2016-01-19,6.81,NA,9.65,22.8188058
"4040",2016-01-20,6.31,NA,9.6,22.77484742
"4041",2016-01-21,6.18,NA,9.6,22.57082228
"4042",2016-01-22,6.31,NA,9.55,22.74404826
"4045",2016-01-25,5.88,NA,NA,21.23126539
"4046",2016-01-26,6.06,NA,9.55,22.49344978
"4047",2016-01-27,5.89,NA,9.52,22.13222222
"4048",2016-01-28,6.05,NA,9.52,22.35051355
"4049",2016-01-29,6.03,NA,9.52,22.2
"4052",2016-02-01,5.68,NA,NA,22.43689937
"4053",2016-02-02,5.79,NA,9.45,23.21439521
"4054",2016-02-03,5.61,NA,9.45,23.31218151
"4055",2016-02-04,5.6,NA,9.45,23.25317555
"4056",2016-02-05,5.54,NA,9.47,23.49550846
"4059",2016-02-08,5.23,NA,NA,NA
"4060",2016-02-09,4.94,NA,9.3,NA
"4061",2016-02-10,4.87,NA,9.3,NA
"4062",2016-02-11,4.72,NA,9.27,NA
"4063",2016-02-12,5.05,NA,9.27,NA
"4066",2016-02-15,4.8,NA,9.27,23.04566499
"4067",2016-02-16,4.68,NA,9.35,23.5
"4068",2016-02-17,5.08,12.73,9.15,23.39971684
"4069",2016-02-18,5.24,NA,9.2,23.47459634
"4070",2016-02-19,5.15,NA,9.25,23.45571429
"4073",2016-02-22,5.39,NA,9.25,23.643379
"4074",2016-02-23,4.88,NA,9.3,23.34373178
"4075",2016-02-24,4.86,NA,9.27,23.27059979
"4076",2016-02-25,5.05,NA,9.32,23.34429462
"4077",2016-02-26,4.98,NA,9.5,23.34554455
"4080",2016-02-29,4.98,NA,9.6,23.52
"4081",2016-03-01,4.97,NA,9.77,22.74338356
"4082",2016-03-02,4.95,NA,9.85,22.72969889
"4083",2016-03-03,4.87,NA,10.05,22.36919152
"4084",2016-03-04,4.9,NA,10.05,21.99135067
"4087",2016-03-07,5.08,NA,10,22.13533461
"4088",2016-03-08,5,NA,10.2,21.85493827
"4089",2016-03-09,5.08,NA,10.4,22.76086957
"4090",2016-03-10,4.9,NA,10.5,21.79914566
"4091",2016-03-11,4.97,NA,10.6,21.95016015
"4094",2016-03-14,4.87,NA,10.85,21.88218647
"4095",2016-03-15,4.85,NA,10.8,21.78947454
"4096",2016-03-16,4.97,NA,11,21.49834199
"4097",2016-03-17,5,NA,11.25,21.6643245
"4098",2016-03-18,4.94,NA,11.25,22.00987058
"4101",2016-03-21,4.86,NA,11.25,22.12295541
"4102",2016-03-22,4.82,NA,11.1,22.17522064
"4103",2016-03-23,4.8,NA,11,22.02493766
"4104",2016-03-24,4.84,NA,11,22.15046042
"4105",2016-03-25,NA,NA,NA,22.05099508
"4108",2016-03-28,NA,NA,NA,21.99359684
"4109",2016-03-29,4.77,NA,11,21.74079752
"4110",2016-03-30,4.95,NA,11.15,21.8998367
"4111",2016-03-31,5.2,NA,11.15,21.62057685
"4112",2016-04-01,5.18,NA,11.1,22.65157208
"4115",2016-04-04,5.3,NA,11.18,NA
"4116",2016-04-05,5.21,NA,11.68,21.81813213
"4117",2016-04-06,5.3,NA,11.88,22.92574166
"4118",2016-04-07,5.26,NA,11.8,21.78833987
"4119",2016-04-08,5.4,NA,12,21.77700903
"4122",2016-04-11,5.56,NA,12.65,21.77722222
"4123",2016-04-12,5.57,NA,12.85,21.63564163
"4124",2016-04-13,5.52,NA,13.5,21.71630457
"4125",2016-04-14,5.59,NA,13.4,20.79571408
"4126",2016-04-15,5.48,NA,13.45,21.35248532
"4129",2016-04-18,5.46,NA,13.25,20.23020137
"4130",2016-04-19,5.55,NA,13.32,20.505
"4131",2016-04-20,5.53,NA,13.32,20.97801128
"4132",2016-04-21,5.73,NA,13.18,20.05781296
"4133",2016-04-22,5.96,NA,13,20.08591586
"4136",2016-04-25,5.9,NA,NA,19.11520595
"4137",2016-04-26,6.6,NA,13.45,18.14339353
"4138",2016-04-27,6.84,NA,13.7,18.00141227
"4139",2016-04-28,6.33,NA,14.3,17.47685114
"4140",2016-04-29,6.16,NA,14.5,16.7682508
"4143",2016-05-02,6.07,NA,14.65,NA
"4144",2016-05-03,5.96,NA,14.5,16.78491251
"4145",2016-05-04,6.12,NA,14.57,15.45024795
"4146",2016-05-05,6.2,NA,14.5,14.20527495
"4147",2016-05-06,5.85,NA,14.5,16.52419359
"4150",2016-05-09,5.69,NA,14.45,17.8250054
"4151",2016-05-10,5.89,NA,14.25,17.16092801
"4152",2016-05-11,5.99,NA,14.25,17.22584903
"4153",2016-05-12,5.8,NA,14.3,17.23465258
"4154",2016-05-13,5.81,NA,14.3,17.37406351
"4157",2016-05-16,6.07,NA,14.3,17.59175831
"4158",2016-05-17,6.03,NA,14.25,17.27350545
"4159",2016-05-18,6.04,12.73,14.05,17.18258154
"4160",2016-05-19,5.97,NA,14,17.01130553
"4161",2016-05-20,5.95,NA,14,16.29980041
"4164",2016-05-23,5.72,NA,14.08,15.28220803
"4165",2016-05-24,5.78,NA,14.1,14.99391199
"4166",2016-05-25,5.85,NA,14.2,15.72944962
"4167",2016-05-26,6.01,NA,14.9,15.64129385
"4168",2016-05-27,6.03,NA,15.15,15.2179374
"4171",2016-05-30,6.1,NA,15.2,15.39461242
"4172",2016-05-31,6.09,NA,15.15,15.17074987
"4173",2016-06-01,5.95,NA,15.55,15.53700125
"4174",2016-06-02,6.01,NA,15.75,15.52292099
"4175",2016-06-03,5.93,NA,16.2,15.83983691
"4178",2016-06-06,6.2,NA,NA,16.42769709
"4179",2016-06-07,6.11,NA,16.8,15.64401507
"4180",2016-06-08,6.1,NA,16.6,16.77350658
"4181",2016-06-09,6.1,NA,16.6,NA
"4182",2016-06-10,5.94,NA,16.72,NA
"4185",2016-06-13,5.86,NA,17,15.83333333
"4186",2016-06-14,5.86,NA,17.15,15.70020592
"4187",2016-06-15,5.9,NA,17.2,16.55286295
"4188",2016-06-16,5.7,NA,17.3,16.07289732
"4189",2016-06-17,5.65,NA,17.6,16.02016996
"4192",2016-06-20,5.85,NA,18.1,16.39007603
"4193",2016-06-21,5.56,NA,18.1,16.54698795
"4194",2016-06-22,5.66,NA,17.95,16.50985222
"4195",2016-06-23,5.64,NA,18,16.55005794
"4196",2016-06-24,4.96,NA,18.1,16.19920135
"4199",2016-06-27,4.77,NA,18.05,16.65254261
"4200",2016-06-28,4.69,NA,17.95,16.56150215
"4201",2016-06-29,4.51,NA,17.7,16.73619634
"4202",2016-06-30,4.46,NA,17.75,16.5240717
"4203",2016-07-01,4.6,NA,17.95,16.75842382
"4206",2016-07-04,4.95,NA,17.75,16.6000782
"4207",2016-07-05,4.71,NA,17.7,16.91053396
"4208",2016-07-06,4.57,NA,17.7,16.79008309
"4209",2016-07-07,4.57,NA,18.05,16.50522934
"4210",2016-07-08,4.54,NA,18.05,17.10255475
"4213",2016-07-11,4.42,NA,18,16.15049826
"4214",2016-07-12,4.62,NA,17.95,14.99639835
"4215",2016-07-13,4.76,NA,17.9,13.85244102
"4216",2016-07-14,4.77,NA,17.93,12.13
"4217",2016-07-15,4.92,NA,17.95,10.9199972
"4220",2016-07-18,4.84,NA,17.95,10.81
"4221",2016-07-19,4.67,NA,17.95,10.7
"4222",2016-07-20,4.67,NA,18.05,10.59
"4223",2016-07-21,4.64,NA,18.05,10.48
"4224",2016-07-22,4.56,NA,18.15,10.59292934
"4227",2016-07-25,4.59,NA,18.1,11.19108051
"4228",2016-07-26,4.52,NA,18.1,12.45936911
"4229",2016-07-27,4.52,NA,18.05,13.71
"4230",2016-07-28,4.48,NA,18,14.21080182
"4231",2016-07-29,4.41,NA,18.1,14.2
"4234",2016-08-01,4.37,NA,18.05,14.06
"4235",2016-08-02,4.4,NA,18,13.92
"4236",2016-08-03,4.61,NA,17.85,13.78
"4237",2016-08-04,4.69,NA,17.8,13.64
"4238",2016-08-05,4.72,NA,17.75,13.5
"4241",2016-08-08,4.93,NA,17.9,13.50940895
"4242",2016-08-09,4.88,NA,17.8,14.07817466
"4243",2016-08-10,4.77,NA,17.65,14.63
"4244",2016-08-11,4.88,NA,17.55,14.48
"4245",2016-08-12,4.89,NA,17.55,14.34
"4248",2016-08-15,4.79,NA,17.57,14.2
"4249",2016-08-16,4.68,12.73,17.5,14.06003874
"4250",2016-08-17,4.49,NA,17.6,13.9963482
"4251",2016-08-18,4.66,NA,17.9,14.25874009
"4252",2016-08-19,4.75,NA,17.97,14.61495256
"4255",2016-08-22,4.88,NA,18.05,14.67517627
"4256",2016-08-23,4.7,NA,18.05,15.04711679
"4257",2016-08-24,4.59,NA,18.05,15.33860326
"4258",2016-08-25,4.7,NA,18.07,15.49991775
"4259",2016-08-26,4.7,NA,18.2,14.79002961
"4262",2016-08-29,4.69,NA,18.25,14.64007743
"4263",2016-08-30,4.56,NA,18.25,14.81971223
"4264",2016-08-31,4.46,NA,18.3,15.33399785
"4265",2016-09-01,4.38,NA,18.75,15.34242137
"4266",2016-09-02,4.09,NA,18.75,15.14
"4269",2016-09-05,3.91,NA,18.7,15.5424125
"4270",2016-09-06,4.14,NA,18.75,14.87447685
"4271",2016-09-07,4.01,NA,18.85,14.87126763
"4272",2016-09-08,4.07,NA,18.9,15.22362983
"4273",2016-09-09,4.08,NA,18.8,15.28645402
"4276",2016-09-12,4.04,NA,18.9,15.49912172
"4277",2016-09-13,4.03,NA,18.82,15.27768463
"4278",2016-09-14,3.99,NA,18.8,15.57348314
"4279",2016-09-15,4.14,NA,18.8,NA
"4280",2016-09-16,4.35,NA,18.8,NA
"4283",2016-09-19,4.4,NA,18.75,16.18022714
"4284",2016-09-20,4.17,NA,18.85,15.54140915
"4285",2016-09-21,4.21,NA,18.85,15.82418364
"4286",2016-09-22,4.43,NA,18.85,16.40931454
"4287",2016-09-23,4.55,NA,18.85,15.86214576
"4290",2016-09-26,4.63,NA,18.85,16.23626131
"4291",2016-09-27,4.44,NA,18.8,16.60705747
"4292",2016-09-28,4.96,NA,18.82,16.66071526
"4293",2016-09-29,5.02,NA,18.82,16.66973865
"4294",2016-09-30,4.97,NA,18.8,16.51638951
"4297",2016-10-03,5.31,NA,18.8,NA
"4298",2016-10-04,5.19,NA,18.75,NA
"4299",2016-10-05,5.48,NA,18.8,NA
"4300",2016-10-06,5.86,NA,18.85,NA
"4301",2016-10-07,5.69,NA,18.85,NA
"4304",2016-10-10,5.67,NA,18.8,16.60026385
"4305",2016-10-11,5.42,NA,18.85,16.61830068
"4306",2016-10-12,5.52,NA,18.87,16.62001053
"4307",2016-10-13,5.66,NA,18.8,16.45007752
"4308",2016-10-14,5.81,NA,18.9,16.51
"4311",2016-10-17,5.87,NA,18.87,16.35
"4312",2016-10-18,5.95,NA,18.85,16.76347826
"4313",2016-10-19,5.67,NA,18.82,16.2584127
"4314",2016-10-20,5.57,NA,18.7,16.10776583
"4315",2016-10-21,5.9,NA,18.8,15.95991189
"4318",2016-10-24,5.8,NA,NA,15.78032787
"4319",2016-10-25,5.8,NA,18.85,15.68529644
"4320",2016-10-26,5.94,NA,18.7,15.55
"4321",2016-10-27,5.79,NA,18.6,15.41876712
"4322",2016-10-28,5.87,NA,18.65,16.82
"4325",2016-10-31,5.9,NA,18.5,16.65
"4326",2016-11-01,6.03,NA,18.52,16.48
"4327",2016-11-02,6.23,NA,18.45,16.32
"4328",2016-11-03,6.51,NA,18.55,16.16
"4329",2016-11-04,6.4,NA,18.5,16
"4332",2016-11-07,6.22,NA,18.5,15.85543426
"4333",2016-11-08,6.14,NA,18.55,16.14700637
"4334",2016-11-09,6.12,NA,18.55,16.2759411
"4335",2016-11-10,5.92,NA,18.55,16.33
"4336",2016-11-11,5.68,NA,18.5,16.17
"4339",2016-11-14,5.4,NA,18.4,16.22124738
"4340",2016-11-15,5.73,12.73,18.25,16.53898098
"4341",2016-11-16,5.55,NA,18.2,16.88331656
"4342",2016-11-17,5.9,NA,18,16.61083333
"4343",2016-11-18,5.57,NA,17.35,16.97
"4346",2016-11-21,5.49,NA,17.3,17.22719765
"4347",2016-11-22,5.51,NA,17,16.92589872
"4348",2016-11-23,5.39,NA,17.15,16.85161241
"4349",2016-11-24,5.33,NA,17.3,16.67547015
"4350",2016-11-25,5.02,NA,17.5,16.54834932
"4353",2016-11-28,4.73,NA,17.5,17.02241222
"4354",2016-11-29,4.56,NA,17.5,17.87885758
"4355",2016-11-30,4.58,NA,17.42,17.78258117
"4356",2016-12-01,4.46,NA,17.7,17.90981771
"4357",2016-12-02,4.29,NA,17.7,18.5038817
"4360",2016-12-05,4.37,NA,17.75,19.16571992
"4361",2016-12-06,4.5,NA,17.7,19.01011862
"4362",2016-12-07,4.3,NA,17.7,18.82
"4363",2016-12-08,4.37,NA,17.65,18.63017773
"4364",2016-12-09,4.48,NA,17.6,18.44
"4367",2016-12-12,4.87,NA,17.55,19.00383586
"4368",2016-12-13,4.8,NA,17.4,19.61
"4369",2016-12-14,5,NA,17.2,19.41
"4370",2016-12-15,4.83,NA,17.4,NA
"4371",2016-12-16,4.95,NA,17,NA
"4374",2016-12-19,5.09,NA,17.05,NA
"4375",2016-12-20,5.25,NA,17.05,NA
"4376",2016-12-21,5.81,NA,17.1,NA
"4377",2016-12-22,6.07,NA,17.1,NA
"4378",2016-12-23,6.31,NA,17.1,NA
"4381",2016-12-26,NA,NA,NA,18.16690015
"4382",2016-12-27,6.31,NA,NA,19.0733737
"4383",2016-12-28,6.32,NA,17.2,18.17291184
"4384",2016-12-29,6.34,NA,17.05,18.45944154
"4385",2016-12-30,6.55,NA,17.25,19.28072306
"4388",2017-01-02,6.13,NA,NA,NA
"4389",2017-01-03,5.43,NA,NA,18.89503561
"4390",2017-01-04,5.7,NA,17.2,18.76724332
"4391",2017-01-05,5.28,NA,17.15,18.6737698
"4392",2017-01-06,5.03,NA,17.25,18.40112433
"4395",2017-01-09,5.26,NA,17.3,18.52005907
"4396",2017-01-10,5.49,NA,17.4,17.70819331
"4397",2017-01-11,5.52,NA,17.45,18.07176183
"4398",2017-01-12,5.03,NA,17.45,18.51923236
"4399",2017-01-13,5.03,NA,17.4,18.32235043
"4402",2017-01-16,4.69,NA,17.35,17.73123649
"4403",2017-01-17,5,NA,17.35,19.45681495
"4404",2017-01-18,4.84,NA,17.25,17.42920489
"4405",2017-01-19,5.18,NA,17.2,18.15511697
"4406",2017-01-20,5.42,NA,17.2,19.36166532
"4409",2017-01-23,5.31,NA,NA,18.5
"4410",2017-01-24,5.08,NA,17.1,17.625
"4411",2017-01-25,4.99,NA,17.12,18.68
"4412",2017-01-26,5.18,NA,17.12,18.04375
"4413",2017-01-27,4.93,NA,17,NA
"4416",2017-01-30,5.15,NA,NA,NA
"4417",2017-01-31,5.34,NA,16.9,NA
"4418",2017-02-01,5.27,NA,17,NA
"4419",2017-02-02,5.22,NA,16.97,NA
"4420",2017-02-03,5.16,NA,17.05,17.755
"4423",2017-02-06,5.1,NA,NA,18.09175059
"4424",2017-02-07,5.16,NA,17.07,18.03302144
"4425",2017-02-08,5.21,NA,17.2,17.96669591
"4426",2017-02-09,5.28,NA,17.2,18.1497006
"4427",2017-02-10,5.12,NA,17.6,17.4482732
"4430",2017-02-13,4.9,NA,17.6,17.44556522
"4431",2017-02-14,5.12,NA,18.05,17.44353846
"4432",2017-02-15,5.05,NA,18.05,17.66287356
"4433",2017-02-16,4.93,NA,18.05,17.54846626
"4434",2017-02-17,4.97,NA,18.05,17.61924353
"4437",2017-02-20,5.08,NA,18.05,17.66647993
"4438",2017-02-21,5.04,NA,18.07,17.82948454
"4439",2017-02-22,5.06,13.57,18.1,17.46428962
"4440",2017-02-23,5.33,NA,18.05,17.62989664
"4441",2017-02-24,5.37,NA,18,17.68
"4444",2017-02-27,5.19,NA,18.05,17.61285714
"4445",2017-02-28,5.2,NA,18.05,16.90577441
"4446",2017-03-01,5.9,NA,17.8,17.13808219
"4447",2017-03-02,5.46,NA,17.9,16.97817746
"4448",2017-03-03,5.58,NA,17.8,16.95776748
"4451",2017-03-06,5.49,NA,17.9,16.74379459
"4452",2017-03-07,5.38,NA,17.82,17.71529412
"4453",2017-03-08,5.24,NA,17.9,17.48087973
"4454",2017-03-09,5.13,NA,17.85,16.67200482
"4455",2017-03-10,5.15,NA,17.85,16.77187793
"4458",2017-03-13,5.15,NA,17.8,17.00036164
"4459",2017-03-14,5.1,NA,17.7,16.94841285
"4460",2017-03-15,5.19,NA,17.55,17.55105305
"4461",2017-03-16,5.14,NA,17.3,17.56779874
"4462",2017-03-17,5.12,NA,17.15,17.5076534
"4465",2017-03-20,4.98,NA,17,17.24735501
"4466",2017-03-21,4.93,NA,17,17.3481854
"4467",2017-03-22,4.96,NA,17.1,17.08426766
"4468",2017-03-23,4.96,NA,17.2,17.49951754
"4469",2017-03-24,4.76,NA,17.17,16.09247649
"4472",2017-03-27,4.63,NA,17.12,16.94390235
"4473",2017-03-28,4.73,NA,17.15,15.99268496
"4474",2017-03-29,4.75,NA,17.2,16.53669226
"4475",2017-03-30,4.91,NA,17.2,16.51671137
"4476",2017-03-31,4.67,NA,17.25,16.95611512
"4479",2017-04-03,4.84,NA,17.5,NA
"4480",2017-04-04,4.64,NA,17.5,NA
"4481",2017-04-05,4.82,NA,17.7,17.8162524
"4482",2017-04-06,5.05,NA,17.7,16.10149649
"4483",2017-04-07,4.89,NA,17.65,16.58207938
"4486",2017-04-10,4.78,NA,17.6,16.12302067
"4487",2017-04-11,4.85,NA,17.5,15.95343578
"4488",2017-04-12,4.93,NA,17.4,15.00954454
"4489",2017-04-13,4.95,NA,17.2,14.67760793
"4490",2017-04-14,NA,NA,NA,14.13449803
"4493",2017-04-17,NA,NA,NA,14.68470186
"4494",2017-04-18,4.86,NA,17.2,15.14708823
"4495",2017-04-19,4.83,NA,17.25,15.64111943
"4496",2017-04-20,4.75,NA,17.3,15.44728081
"4497",2017-04-21,4.57,NA,17.22,15.90869887
"4500",2017-04-24,4.64,NA,17.2,16.17725044
"4501",2017-04-25,4.49,NA,NA,16.59454358
"4502",2017-04-26,4.61,NA,17.15,16.62023351
"4503",2017-04-27,4.55,NA,17.15,15.60688182
"4504",2017-04-28,4.57,NA,17.15,16.22167201
"4507",2017-05-01,NA,NA,17.15,NA
